index,ID1,ID2,Class,Name1,Address1,st_x1,st_y1,Name2,Address2,st_x2,st_y2
1,20066,36923,1,"Andelsboligforeningen Vestskoven, afd 2",Hasserisvej 113 9000 Aalborg,9.897704,57.044355,Andelsboligforeningen Elsagervej,Hasserisvej 113 9000 Aalborg,9.897704,57.044355
2,32029,81994,1,Aalborg Graviditet & Scanning,"Dag Hammarskjølds Gade 4, 2. sal 9000 Aalborg",9.925654,57.043438,Aalborg pregnancy & scan,"Dag Hammarskjølds Gade 4, 9000 Aalborg, Denmark",9.9256687,57.043475300000004
3,40590,62868,0,Morsø Akupunktur & Coaching,Park Alle 4 7900 Nykøbing M,8.86825,56.805702000000004,Morsø Square Dance,"Fyrvejen 61, c/o Vera Jensen, 7900 Nykøbing, Denmark",8.869089,56.8055329
4,4078,60721,0,Fælleslegat For Værdige Trængende I Thisted Kommune,Asylgade 30 7700 Thisted,8.691374,56.952897,Gøttrup Transport Thisted ApS,"Kirkegårdsvej 7, 7700 Thisted, Denmark",8.6900832,56.952402
5,32403,76216,1,Fakta Fiber A/S,Sdr. Havnevej 61 9982 Aalbæk,10.426228,57.592698999999996,Fakta Fiber A / S,"Søndre Havnevej 61, 9982 Ålbæk, Denmark",10.4260014,57.592573800000004
6,81555,107889,0,Speciallægeselskabet Pascal Bonvin ApS,"Budolfi Plads 1, 1., 9000 Aalborg, Denmark",9.919420800000001,57.04756879999999,Ejendomsselskabet Herluf Trolles Gade 34 ApS,"Skibbrogade 3, c/o Magnus Kjøller Holding ApS, sal 3, 9000 Aalborg, Denmark",9.920093,57.04722099999999
7,18054,111432,1,Haubro Idrætsforening (HIF),Havbrovej 66 9600 Aars,9.417589,56.816322,Haubro Idrætsforening,"Havbrovej 66, 9600 Aars, Denmark",9.417525900000001,56.81631070000001
8,15451,96324,0,Afd. 11 - Kontor Vesterbro,Vesterbro 102 9000 Aalborg,9.917529,57.052122999999995,SushiSushi,"Strandvejen 11, 9000 Aalborg, Denmark",9.916286999999999,57.05263829999999
9,86524,89063,0,Larsen Byg v/ Ole Larsen,"Evaholmvej 12A, 9600 Aars, Denmark",9.43172,56.845249,Sørensen / Gert,"Evaholmvej 13, 9600 Aars, Denmark",9.431747999999999,56.844834999999996
10,16852,111195,0,Thisted Antikvariat,Storegade 21 7700 Thisted,8.693430000000001,56.954851,By W.H.,"Nytorv 4C, 7700 Thisted, Denmark",8.6927981,56.955604
11,30107,56849,0,Hr Ejnar Bach,Ridemandsmøllevej 60 9230 Svenstrup J,9.821094,56.964870999999995,Godthaab Autolakering,"Ridemandsmøllevej 60, 9230 Svenstrup J, Denmark",9.8211296,56.9647103
12,21168,94202,1,Støtteforeningen Kastaniegårdens Venner,Vivaldisvej 78 9200 Aalborg SV,9.817653,57.011547,Støtteforeningen Kastaniegårdens Venner,"Vivaldisvej 78, 9200 Aalborg, Denmark",9.81762,57.011559999999996
13,81464,96266,0,Internet Zoo ApS,"Algade 44, 9000 Aalborg, Denmark",9.918445,57.048126,Ejendomsselskabet Posthuset ApS,"Algade 44, 9000 Aalborg, Denmark",9.9186617,57.048242599999995
14,18476,83911,1,HC Entreprenøren A/S,Stenmarksvej 19 9492 Blokhus,9.623728999999999,57.244542,HC & Engholt Entreprenører,"Stenmarksvej 19, Hune, 9492 Blokhus, Denmark",9.623561,57.24456800000001
15,23495,89454,1,Udlejer Torben Frølich,Markvænget 34 9600 Aars,9.503716,56.795611,Udlejer Torben Frølich,"Markvænget 34, 9600 Aars, Denmark",9.503626800000001,56.7956214
16,24258,36620,0,Borgerservice Hjørring,Springvandspladsen 5 9800 Hjørring,9.986267,57.460142000000005,A2b Sprogcenter Hjørring,"Strømgade 6, 1. sal 9800 Hjørring",9.986366,57.460725
17,92960,102579,0,Danland Vigsø,"Vigsø Bugt Vej 1, 7730 Hanstholm, Denmark",8.714035699999998,57.09432389999999,Vigsø Feriecenter,"Vigsø Bugt Vej 1, 7730 Hanstholm, Denmark",8.7146044,57.094235100000006
